id,source,headline,url,checkworthy,sentiment,raw_response,model,checkworthy_confidence,sentiment_confidence
20,Bangladesh Pratidin,ফ্রান্স-মরক্কো ম্যাচে প্রথমবার থাকছে ব্যাকআপ ভিএআর,https://www.bd-pratidin.com/sports/2026/07/10/1272939,Yes,Neutral,"{""checkworthy"": ""Yes"", ""checkworthy_confidence"": 0.95, ""sentiment"": ""Neutral"", ""sentiment_confidence"": 0.88}",gemma-3-4b-it,0.95,0.88
21,Bangladesh Pratidin,পুরুষদের বিশ্বকাপ প্রাইজমানির অর্ধেক পাচ্ছে মার্কিন নারী দল,https://www.bd-pratidin.com/sports/2026/07/09/1272896,Yes,Neutral,"{""checkworthy"": ""Yes"", ""checkworthy_confidence"": 0.98, ""sentiment"": ""Neutral"", ""sentiment_confidence"": 0.95}",gemma-3-4b-it,0.98,0.95
22,Bangladesh Pratidin,এবারের বিশ্বকাপে গোলের নতুন মাইলফলক,https://www.bd-pratidin.com/sports/2026/07/09/1272879,Yes,Positive,"{""checkworthy"": ""Yes"", ""checkworthy_confidence"": 0.97, ""sentiment"": ""Positive"", ""sentiment_confidence"": 0.93}",gemma-3-4b-it,0.97,0.93
23,Bangladesh Pratidin,"মেসির মুখোমুখি হওয়াই বড় প্রাপ্তি, বলছেন সুইস ফুটবলাররা",https://www.bd-pratidin.com/sports/2026/07/09/1272878,Yes,Positive,"{""checkworthy"": ""Yes"", ""checkworthy_confidence"": 0.96, ""sentiment"": ""Positive"", ""sentiment_confidence"": 0.94}",gemma-3-4b-it,0.96,0.94
24,Bangladesh Pratidin,রংপুরে নানা কর্মসূচিতে বিশ্ব পরিবেশ দিবস পালিত,https://www.bd-pratidin.com/sports/2026/07/09/1272862,No,Neutral,"{""checkworthy"": ""No"", ""checkworthy_confidence"": 0.85, ""sentiment"": ""Neutral"", ""sentiment_confidence"": 0.88}",gemma-3-4b-it,0.85,0.88
25,Bangladesh Pratidin,"কেন ৯০ মিনিটের হয় ফুটবল ম্যাচ, জানুন পেছনের গল্প",https://www.bd-pratidin.com/sports/2026/07/09/1272749,Yes,Neutral,"{""checkworthy"": ""Yes"", ""checkworthy_confidence"": 0.92, ""sentiment"": ""Neutral"", ""sentiment_confidence"": 0.91}",gemma-3-4b-it,0.92,0.91
26,Bangladesh Pratidin,বিশ্বকাপে আর্জেন্টিনা কি বাড়তি সুবিধা পাচ্ছে?,https://www.bd-pratidin.com/sports/2026/07/09/1272744,Yes,Neutral,"{""checkworthy"": ""Yes"", ""checkworthy_confidence"": 0.98, ""sentiment"": ""Neutral"", ""sentiment_confidence"": 0.95}",gemma-3-4b-it,0.98,0.95
27,Bangladesh Pratidin,"ফুটবলের নতুন পরাশক্তি হওয়ার পথে মরক্কো, বাস্তবতা কি বলছে?",https://www.bd-pratidin.com/sports/2026/07/09/1272728,Yes,Neutral,"{""checkworthy"": ""Yes"", ""checkworthy_confidence"": 0.97, ""sentiment"": ""Neutral"", ""sentiment_confidence"": 0.96}",gemma-3-4b-it,0.97,0.96
28,Bangladesh Pratidin,ফ্রান্সকে নিয়ে বিশেষ পরিকল্পনা নেই মরক্কোর,https://www.bd-pratidin.com/sports/2026/07/09/1272720,Yes,Neutral,"{""checkworthy"": ""Yes"", ""checkworthy_confidence"": 0.99, ""sentiment"": ""Neutral"", ""sentiment_confidence"": 0.98}",gemma-3-4b-it,0.99,0.98
29,Bangladesh Pratidin,ব্রাজিল-জার্মানিকে পেছনে ফেলে ফিফার শীর্ষ দশে মেক্সিকো,https://www.bd-pratidin.com/sports/2026/07/09/1272716,Yes,Positive,"{""checkworthy"": ""Yes"", ""checkworthy_confidence"": 0.96, ""sentiment"": ""Positive"", ""sentiment_confidence"": 0.88}",gemma-3-4b-it,0.96,0.88
30,Bangladesh Pratidin,কেন ইংল্যান্ড-আর্জেন্টিনার রেফারিরা একে অপরের ম্যাচ পরিচালনা করতে পারে না?,https://www.bd-pratidin.com/sports/2026/07/09/1272712,Yes,Neutral,"{""checkworthy"": ""Yes"", ""checkworthy_confidence"": 0.94, ""sentiment"": ""Neutral"", ""sentiment_confidence"": 0.91}",gemma-3-4b-it,0.94,0.91
31,Bangladesh Pratidin,আর্জেন্টাইন রেফারি নিয়ে চিন্তিত নন ফরাসি কোচ দেশম,https://www.bd-pratidin.com/sports/2026/07/09/1272644,Yes,Negative,"{""checkworthy"": ""Yes"", ""checkworthy_confidence"": 0.98, ""sentiment"": ""Negative"", ""sentiment_confidence"": 0.85}",gemma-3-4b-it,0.98,0.85
32,Bangladesh Pratidin,"আর্জেন্টাইন রেফারিরা দায়িত্বে, অস্বস্তিতে এমবাপ্পে?",https://www.bd-pratidin.com/sports/2026/07/09/1272640,Yes,Negative,"{""checkworthy"": ""Yes"", ""checkworthy_confidence"": 0.96, ""sentiment"": ""Negative"", ""sentiment_confidence"": 0.88}",gemma-3-4b-it,0.96,0.88
33,Bangladesh Pratidin,"বর্ণবাদ বিতর্কে নতুন মোড়, এমবাপ্পেকে আইনি নোটিশের হুঁশিয়ারি প্যারাগুয়ের সিনেটরের",https://www.bd-pratidin.com/sports/2026/07/09/1272638,Yes,Negative,"{""checkworthy"": ""Yes"", ""checkworthy_confidence"": 0.97, ""sentiment"": ""Negative"", ""sentiment_confidence"": 0.91}",gemma-3-4b-it,0.97,0.91
34,Bangladesh Pratidin,বিশ্বকাপ ফাইনালের মঞ্চ মাতাবেন যারা,https://www.bd-pratidin.com/sports/2026/07/09/1272635,Yes,Neutral,"{""checkworthy"": ""Yes"", ""checkworthy_confidence"": 0.99, ""sentiment"": ""Neutral"", ""sentiment_confidence"": 0.95}",gemma-3-4b-it,0.99,0.95
35,Bangladesh Pratidin,বিশ্বকাপে সেরা উদীয়মান ফুটবলারের দৌড়ে এগিয়ে যারা,https://www.bd-pratidin.com/sports/2026/07/09/1272632,Yes,Neutral,"{""checkworthy"": ""Yes"", ""checkworthy_confidence"": 0.94, ""sentiment"": ""Neutral"", ""sentiment_confidence"": 0.82}",gemma-3-4b-it,0.94,0.82
36,Bangladesh Pratidin,ফ্রান্স-মরক্কোর কোয়ার্টার ফাইনালসহ টিভিতে যা দেখবেন,https://www.bd-pratidin.com/sports/2026/07/09/1272626,Yes,Positive,"{""checkworthy"": ""Yes"", ""checkworthy_confidence"": 0.98, ""sentiment"": ""Positive"", ""sentiment_confidence"": 0.85}",gemma-3-4b-it,0.98,0.85
37,Bangladesh Pratidin,ইনস্টাগ্রাম অ্যাকাউন্ট বন্ধ করলেন সেই রেফারি,https://www.bd-pratidin.com/sports/2026/07/08/1272394,Yes,Negative,"{""checkworthy"": ""Yes"", ""checkworthy_confidence"": 0.92, ""sentiment"": ""Negative"", ""sentiment_confidence"": 0.78}",gemma-3-4b-it,0.92,0.78
38,Bangladesh Pratidin,বিশ্বকাপ থেকে বিদায়ের পর ক্রোয়েশিয়ার কোচের পদত্যাগ,https://www.bd-pratidin.com/sports/2026/07/08/1272387,Yes,Negative,"{""checkworthy"": ""Yes"", ""checkworthy_confidence"": 0.96, ""sentiment"": ""Negative"", ""sentiment_confidence"": 0.82}",gemma-3-4b-it,0.96,0.82
39,Bangladesh Pratidin,"উপহাস থেকে বিশ্বমঞ্চের নায়ক, স্কালোনির অনন্য যাত্রা",https://www.bd-pratidin.com/sports/2026/07/08/1272386,Yes,Positive,"{""checkworthy"": ""Yes"", ""checkworthy_confidence"": 0.94, ""sentiment"": ""Positive"", ""sentiment_confidence"": 0.88}",gemma-3-4b-it,0.94,0.88
40,Bangladesh Pratidin,মিসরের গোল বাতিল বিতর্ক: ভিএআর কি এমন সিদ্ধান্ত দিতে পারে,https://www.bd-pratidin.com/sports/2026/07/08/1272373,Yes,Neutral,"{""checkworthy"": ""Yes"", ""checkworthy_confidence"": 0.97, ""sentiment"": ""Neutral"", ""sentiment_confidence"": 0.75}",gemma-3-4b-it,0.97,0.75
41,Bangladesh Pratidin,"আর্জেন্টিনাকে হারানো অসম্ভব নয়, বললেন সুইস কোচ",https://www.bd-pratidin.com/sports/2026/07/08/1272358,Yes,Positive,"{""checkworthy"": ""Yes"", ""checkworthy_confidence"": 0.98, ""sentiment"": ""Positive"", ""sentiment_confidence"": 0.95}",gemma-3-4b-it,0.98,0.95
42,Bangladesh Pratidin,আর্জেন্টিনার কাছে হারের পর শাস্তির মুখে মিশর কোচ,https://www.bd-pratidin.com/sports/2026/07/08/1272353,Yes,Negative,"{""checkworthy"": ""Yes"", ""checkworthy_confidence"": 0.97, ""sentiment"": ""Negative"", ""sentiment_confidence"": 0.93}",gemma-3-4b-it,0.97,0.93
43,Bangladesh Pratidin,"সেমির টিকেটে চোখ, মরক্কোর প্রতিশোধ নাকি ফরাসি উত্তাপ?",https://www.bd-pratidin.com/sports/2026/07/08/1272227,Yes,Neutral,"{""checkworthy"": ""Yes"", ""checkworthy_confidence"": 0.96, ""sentiment"": ""Neutral"", ""sentiment_confidence"": 0.88}",gemma-3-4b-it,0.96,0.88
44,Bangladesh Pratidin,বিশ্বকাপের ধকলে অসুস্থ নরওয়ের একাধিক খেলোয়াড়,https://www.bd-pratidin.com/sports/2026/07/08/1272225,Yes,Negative,"{""checkworthy"": ""Yes"", ""checkworthy_confidence"": 0.99, ""sentiment"": ""Negative"", ""sentiment_confidence"": 0.97}",gemma-3-4b-it,0.99,0.97
45,Bangladesh Pratidin,"হেরেও গর্বিত মিসরীয়রা, কোচ পাচ্ছেন দিলখুশ স্যালুট",https://www.bd-pratidin.com/sports/2026/07/08/1272224,Yes,Positive,"{""checkworthy"": ""Yes"", ""checkworthy_confidence"": 0.94, ""sentiment"": ""Positive"", ""sentiment_confidence"": 0.92}",gemma-3-4b-it,0.94,0.92
46,Bangladesh Pratidin,মনে হচ্ছিল আমরা হয়তো বিদায় নিচ্ছি : মার্তিনেস,https://www.bd-pratidin.com/sports/2026/07/08/1272217,Yes,Negative,"{""checkworthy"": ""Yes"", ""checkworthy_confidence"": 0.98, ""sentiment"": ""Negative"", ""sentiment_confidence"": 0.85}",gemma-3-4b-it,0.98,0.85
47,Bangladesh Pratidin,হ্যান্ড অব গডের কারিগর ম্যারাডোনার সমান্তরালে জাদুকর মেসি,https://www.bd-pratidin.com/sports/2026/07/08/1272211,Yes,Neutral,"{""checkworthy"": ""Yes"", ""checkworthy_confidence"": 0.96, ""sentiment"": ""Neutral"", ""sentiment_confidence"": 0.78}",gemma-3-4b-it,0.96,0.78
48,Bangladesh Pratidin,"ব্রাজিলের বিশ্বকাপ দুঃস্বপ্ন, আনচেলত্তির চরম ব্যর্থতার নেপথ্যে কি?",https://www.bd-pratidin.com/sports/2026/07/08/1272208,Yes,Negative,"{""checkworthy"": ""Yes"", ""checkworthy_confidence"": 0.97, ""sentiment"": ""Negative"", ""sentiment_confidence"": 0.88}",gemma-3-4b-it,0.97,0.88
49,Bangladesh Pratidin,আইশোস্পিডের বিরুদ্ধে তদন্ত করছে ফিফা,https://www.bd-pratidin.com/sports/2026/07/08/1272177,Yes,Neutral,"{""checkworthy"": ""Yes"", ""checkworthy_confidence"": 0.99, ""sentiment"": ""Neutral"", ""sentiment_confidence"": 0.95}",gemma-3-4b-it,0.99,0.95
50,Bangladesh Pratidin,কোয়ার্টারে আমাদুকে পাচ্ছে না বেলজিয়াম,https://www.bd-pratidin.com/sports/2026/07/08/1272172,Yes,Negative,"{""checkworthy"": ""Yes"", ""checkworthy_confidence"": 0.94, ""sentiment"": ""Negative"", ""sentiment_confidence"": 0.82}",gemma-3-4b-it,0.94,0.82
51,Bangladesh Pratidin,ন্যাটো সম্মেলনে হালান্ডকে নিয়ে রসিকতা,https://www.bd-pratidin.com/sports/2026/07/08/1272169,Yes,Neutral,"{""checkworthy"": ""Yes"", ""checkworthy_confidence"": 0.98, ""sentiment"": ""Neutral"", ""sentiment_confidence"": 0.95}",gemma-3-4b-it,0.98,0.95
52,Bangladesh Pratidin,টাইব্রেকারে কলম্বিয়াকে হারিয়ে কোয়ার্টারে সুইজারল্যান্ড,https://www.bd-pratidin.com/sports/2026/07/08/1272167,Yes,Positive,"{""checkworthy"": ""Yes"", ""checkworthy_confidence"": 0.97, ""sentiment"": ""Positive"", ""sentiment_confidence"": 0.93}",gemma-3-4b-it,0.97,0.93
53,Bangladesh Pratidin,অতিরিক্ত সময়ে গড়াল কলম্বিয়া-সুইজারল্যান্ড ম্যাচ,https://www.bd-pratidin.com/sports/2026/07/08/1272162,Yes,Negative,"{""checkworthy"": ""Yes"", ""checkworthy_confidence"": 0.96, ""sentiment"": ""Negative"", ""sentiment_confidence"": 0.88}",gemma-3-4b-it,0.96,0.88
54,Bangladesh Pratidin,হারের পরও সালাহাদের অভিনন্দন প্রেসিডেন্টের,https://www.bd-pratidin.com/sports/2026/07/08/1272160,Yes,Positive,"{""checkworthy"": ""Yes"", ""checkworthy_confidence"": 0.99, ""sentiment"": ""Positive"", ""sentiment_confidence"": 0.97}",gemma-3-4b-it,0.99,0.97
55,Bangladesh Pratidin,মেসির গোলে সমতায় আর্জেন্টিনা,https://www.bd-pratidin.com/sports/2026/07/08/1272028,Yes,Neutral,"{""checkworthy"": ""Yes"", ""checkworthy_confidence"": 0.95, ""sentiment"": ""Neutral"", ""sentiment_confidence"": 0.92}",gemma-3-4b-it,0.95,0.92
56,Bangladesh Pratidin,সেই জিকোর গোলে লিড পেল মিসর,https://www.bd-pratidin.com/sports/2026/07/07/1272021,Yes,Positive,"{""checkworthy"": ""Yes"", ""checkworthy_confidence"": 0.98, ""sentiment"": ""Positive"", ""sentiment_confidence"": 0.85}",gemma-3-4b-it,0.98,0.85
57,Bangladesh Pratidin,ভিএআরে বাতিল মিশরের দ্বিতীয় গোল,https://www.bd-pratidin.com/sports/2026/07/07/1272019,Yes,Negative,"{""checkworthy"": ""Yes"", ""checkworthy_confidence"": 0.96, ""sentiment"": ""Negative"", ""sentiment_confidence"": 0.78}",gemma-3-4b-it,0.96,0.78
58,Bangladesh Pratidin,পেনাল্টি মিস করে বিশ্বরেকর্ড মেসির,https://www.bd-pratidin.com/sports/2026/07/07/1272017,Yes,Negative,"{""checkworthy"": ""Yes"", ""checkworthy_confidence"": 0.97, ""sentiment"": ""Negative"", ""sentiment_confidence"": 0.82}",gemma-3-4b-it,0.97,0.82
59,Bangladesh Pratidin,মিসরের বিপক্ষে পিছিয়ে থেকে বিরতিতে আর্জেন্টিনা,https://www.bd-pratidin.com/sports/2026/07/07/1272013,Yes,Negative,"{""checkworthy"": ""Yes"", ""checkworthy_confidence"": 0.95, ""sentiment"": ""Negative"", ""sentiment_confidence"": 0.75}",gemma-3-4b-it,0.95,0.75
60,Bangladesh Pratidin,মিসরের গোলের পর মেসির পেনাল্টি মিস,https://www.bd-pratidin.com/sports/2026/07/07/1271999,Yes,Negative,"{""checkworthy"": ""Yes"", ""checkworthy_confidence"": 0.94, ""sentiment"": ""Negative"", ""sentiment_confidence"": 0.8}",gemma-3-4b-it,0.94,0.8
61,Bangladesh Pratidin,মিসরের বিপক্ষে যেমন হতে পারে আর্জেন্টিনার একাদশ,https://www.bd-pratidin.com/sports/2026/07/07/1271964,Yes,Neutral,"{""checkworthy"": ""Yes"", ""checkworthy_confidence"": 0.98, ""sentiment"": ""Neutral"", ""sentiment_confidence"": 0.95}",gemma-3-4b-it,0.98,0.95
62,Bangladesh Pratidin,কঠিন লড়াইয়ের মুখোমুখি হতে তৈরি কলম্বিয়া,https://www.bd-pratidin.com/sports/2026/07/07/1271957,Yes,Neutral,"{""checkworthy"": ""Yes"", ""checkworthy_confidence"": 0.97, ""sentiment"": ""Neutral"", ""sentiment_confidence"": 0.96}",gemma-3-4b-it,0.97,0.96
63,Bangladesh Pratidin,‘মেসির উপস্থিতিতে ইন্টার মায়ামির জেদ বহুগুণ বেড়ে গেছে’,https://www.bd-pratidin.com/sports/2026/07/07/1271956,Yes,Positive,"{""checkworthy"": ""Yes"", ""checkworthy_confidence"": 0.99, ""sentiment"": ""Positive"", ""sentiment_confidence"": 0.98}",gemma-3-4b-it,0.99,0.98
64,Bangladesh Pratidin,বাবার ‘সেলিব্রেশন’ ফিরিয়ে বিশ্বকাপ মাতালেন মেরিনো,https://www.bd-pratidin.com/sports/2026/07/07/1271951,Yes,Neutral,"{""checkworthy"": ""Yes"", ""checkworthy_confidence"": 0.96, ""sentiment"": ""Neutral"", ""sentiment_confidence"": 0.92}",gemma-3-4b-it,0.96,0.92
65,Bangladesh Pratidin,যে কারণে আজ ঢাবিতে বড়পর্দায় দেখা যাবে না আর্জেন্টিনার ম্যাচ,https://www.bd-pratidin.com/sports/2026/07/07/1271942,Yes,Negative,"{""checkworthy"": ""Yes"", ""checkworthy_confidence"": 0.94, ""sentiment"": ""Negative"", ""sentiment_confidence"": 0.88}",gemma-3-4b-it,0.94,0.88
66,Bangladesh Pratidin,বিশ্বকাপের ফাইনাল ম্যাচের অফিশিয়াল বল উন্মোচন,https://www.bd-pratidin.com/sports/2026/07/07/1271939,Yes,Neutral,"{""checkworthy"": ""Yes"", ""checkworthy_confidence"": 0.98, ""sentiment"": ""Neutral"", ""sentiment_confidence"": 0.95}",gemma-3-4b-it,0.98,0.95
67,Bangladesh Pratidin,মেসি বনাম সালাহ: লড়াই নাকি অসহায় আত্মসমর্পণ?,https://www.bd-pratidin.com/sports/2026/07/07/1271882,Yes,Negative,"{""checkworthy"": ""Yes"", ""checkworthy_confidence"": 0.96, ""sentiment"": ""Negative"", ""sentiment_confidence"": 0.88}",gemma-3-4b-it,0.96,0.88
68,Bangladesh Pratidin,যে অনাকাঙ্ক্ষিত রেকর্ড কখনো মুছতে পারবেন না রোনালদো,https://www.bd-pratidin.com/sports/2026/07/07/1271872,Yes,Negative,"{""checkworthy"": ""Yes"", ""checkworthy_confidence"": 0.97, ""sentiment"": ""Negative"", ""sentiment_confidence"": 0.91}",gemma-3-4b-it,0.97,0.91
69,Bangladesh Pratidin,৩৮ বছরেই থেমে গেল আফগান পেসার শাপুর জাদরানের জীবনযুদ্ধ,https://www.bd-pratidin.com/sports/2026/07/07/1271862,Yes,Negative,"{""checkworthy"": ""Yes"", ""checkworthy_confidence"": 0.99, ""sentiment"": ""Negative"", ""sentiment_confidence"": 0.93}",gemma-3-4b-it,0.99,0.93
70,Bangladesh Pratidin,"স্পেনের বিপক্ষে ফাইনাল চান স্কালোনি, তবে...",https://www.bd-pratidin.com/sports/2026/07/07/1271853,Yes,Neutral,"{""checkworthy"": ""Yes"", ""checkworthy_confidence"": 0.94, ""sentiment"": ""Neutral"", ""sentiment_confidence"": 0.85}",gemma-3-4b-it,0.94,0.85
71,Bangladesh Pratidin,‘এবার পারলে এই হার বাতিল করে দেখাও’,https://www.bd-pratidin.com/sports/2026/07/07/1271846,Yes,Negative,"{""checkworthy"": ""Yes"", ""checkworthy_confidence"": 0.98, ""sentiment"": ""Negative"", ""sentiment_confidence"": 0.95}",gemma-3-4b-it,0.98,0.95
72,Bangladesh Pratidin,"মার্কিন প্রেসিডেন্টকে ব্যঙ্গ, বেলজিয়ামের স্ট্রাইকার লুকাকুর ‘ট্রাম্প ড্যান্স’ ভাইরাল",https://www.bd-pratidin.com/sports/2026/07/07/1271845,Yes,Positive,"{""checkworthy"": ""Yes"", ""checkworthy_confidence"": 0.97, ""sentiment"": ""Positive"", ""sentiment_confidence"": 0.88}",gemma-3-4b-it,0.97,0.88
73,Bangladesh Pratidin,মেসিদের কাঁধে লাতিন আমেরিকার স্বপ্ন,https://www.bd-pratidin.com/sports/2026/07/07/1271773,Yes,Neutral,"{""checkworthy"": ""Yes"", ""checkworthy_confidence"": 0.96, ""sentiment"": ""Neutral"", ""sentiment_confidence"": 0.85}",gemma-3-4b-it,0.96,0.85
74,Bangladesh Pratidin,প্যারাগুয়ের সিনেটরের বর্ণবাদী মন্তব্যের কড়া জবাব এমবাপ্পের,https://www.bd-pratidin.com/sports/2026/07/07/1271769,Yes,Negative,"{""checkworthy"": ""Yes"", ""checkworthy_confidence"": 0.99, ""sentiment"": ""Negative"", ""sentiment_confidence"": 0.97}",gemma-3-4b-it,0.99,0.97
75,Bangladesh Pratidin,"ট্রাম্পের ফোনের কথা স্বীকার, লাল কার্ড বিতর্কে মুখ খুললেন ফিফা সভাপতি",https://www.bd-pratidin.com/sports/2026/07/07/1271767,Yes,Neutral,"{""checkworthy"": ""Yes"", ""checkworthy_confidence"": 0.95, ""sentiment"": ""Neutral"", ""sentiment_confidence"": 0.82}",gemma-3-4b-it,0.95,0.82
